symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
AUD_JPY,74,47,63.5,53.4,64083.91,0.722
USD_CHF,80,49,61.3,47.57,57080.25,0.595
USD_JPY,81,47,58.0,44.27,53119.22,0.546
USD_CAD,115,63,54.8,42.57,51083.11,0.37
GBP_NZD,88,50,56.8,39.11,46937.72,0.444
GBP_JPY,79,45,57.0,38.4,46080.28,0.486
SPX500_USD,71,39,54.9,35.02,42028.19,0.493
CHF_JPY,75,42,56.0,34.89,41863.32,0.465
EUR_USD,86,46,53.5,33.94,40727.87,0.395
NAS100_USD,62,33,53.2,33.26,39912.65,0.536
XAU_USD,69,36,52.2,32.29,38746.97,0.468
AUD_CAD,95,53,55.8,30.25,36298.97,0.318
GBP_AUD,87,45,51.7,27.29,32745.42,0.314
GBP_CAD,69,38,55.1,26.34,31602.1,0.382
GBP_CHF,66,37,56.1,25.15,30176.52,0.381
GBP_USD,84,41,48.8,23.13,27759.98,0.275
EUR_NZD,74,37,50.0,22.34,26806.77,0.302
BTC_USD,135,55,40.7,21.42,25702.14,0.159
XAG_USD,62,28,45.2,18.59,22303.21,0.3
ETH_USD,118,47,39.8,15.34,18411.69,0.13
EUR_CAD,63,30,47.6,14.07,16885.31,0.223
EUR_JPY,84,38,45.2,13.67,16403.08,0.163
AUD_USD,92,44,47.8,13.64,16373.21,0.148
NZD_CHF,62,30,48.4,12.82,15388.53,0.207
EUR_GBP,71,36,50.7,11.33,13600.46,0.16
AUD_CHF,52,24,46.2,6.56,7872.99,0.126
CAD_JPY,81,35,43.2,5.75,6899.48,0.071
AUD_NZD,74,30,40.5,3.56,4276.19,0.048
CAD_CHF,57,23,40.4,2.2,2645.84,0.039
NZD_CAD,90,38,42.2,0.35,422.36,0.004
EUR_AUD,75,27,36.0,-3.03,-3634.61,-0.04
NZD_USD,91,34,37.4,-5.5,-6598.32,-0.06
EUR_CHF,88,36,40.9,-6.88,-8255.7,-0.078
NZD_JPY,76,26,34.2,-11.79,-14147.69,-0.155
TOTAL,2726,1329,48.8,701.33,841601.44,0.257
