Trade#,Symbol,Direction,Entry Date,Entry Price,Stop Loss Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,Exit Date,Exit Price,TP1 Hit?,TP2 Hit?,TP3 Hit?,TP4 Hit?,TP5 Hit?,SL Hit?,Final Exit Reason,R Multiple,Profit/Loss USD,Confluence Score,Holding Time (hours),Lot Size,Risk Pips,ADX Value,Validation Notes
15,NZD_CAD,BULLISH,2023-01-03 22:00:00+00:00,0.84836016,0.8274669109661951,0.860896109420283,0.873432058840566,0.89014665806761,0.9005932825845124,0.9214865316183174,2023-01-18 22:00:00+00:00,0.8697570039758333,Yes,Yes,No,No,No,No,TP2+Trail,1.02,1126.51,14,360.0,0.53,208.9,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
16,USD_JPY,BEARISH,2023-01-03 22:00:00+00:00,131.763984,135.22142616384767,129.68951870169138,127.61505340338279,124.84909967230465,123.12037859038081,119.66293642653314,2023-01-15 22:00:00+00:00,128.17409530632145,Yes,Yes,No,No,No,No,TP2+Trail,1.04,1142.14,15,288.0,0.42,345.7,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
17,EUR_AUD,BULLISH,2023-01-03 22:00:00+00:00,1.56553982,1.545232832906022,1.5777240122563867,1.5899082045127733,1.6061537941879556,1.6163072877349445,1.6366142748289223,2023-01-08 22:00:00+00:00,1.544482832906022,No,No,No,No,No,Yes,SL,-1.04,-1140.63,15,120.0,0.54,203.1,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
18,USD_CAD,BULLISH,2023-01-03 22:00:00+00:00,1.36044,1.3525920910171962,1.3651487453896824,1.3698574907793648,1.3761358179656078,1.3800597724570096,1.3879076814398137,2023-01-04 22:00:00+00:00,1.3518420910171962,No,No,No,No,No,Yes,SL,-1.1,-1205.12,15,24.0,1.91,78.5,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
19,CHF_JPY,BEARISH,2023-01-03 22:00:00+00:00,142.271846,145.55527377288132,140.3017893362712,138.33173267254244,135.7049904542374,134.06327656779672,130.77984879491544,2023-01-15 22:00:00+00:00,138.86641256074583,Yes,Yes,No,No,No,No,TP2+Trail,1.04,1140.87,15,288.0,0.01,328.3,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
20,AUD_USD,BULLISH,2023-01-04 22:00:00+00:00,0.673967,0.662336420256547,0.6809453478460717,0.6879236956921435,0.6972281594869059,0.7030434493586324,0.7146740291020852,2023-01-09 22:00:00+00:00,0.6855454145280601,Yes,Yes,No,No,No,No,TP2+Trail,1.0,1095.07,15,120.0,0.95,116.3,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
21,AUD_USD,BULLISH,2023-01-04 22:00:00+00:00,0.67511,0.662297429152128,0.6827975425087232,0.6904850850174464,0.700735141695744,0.7071414271196801,0.719953997967552,2023-01-09 22:00:00+00:00,0.6879413250987443,Yes,Yes,No,No,No,No,TP2+Trail,1.0,1101.61,14,120.0,0.86,128.1,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
22,USD_JPY,BULLISH,2023-01-04 22:00:00+00:00,133.47302,129.0858757049986,136.10530657700082,138.73759315400164,142.24730859000275,144.44088073750345,148.8280250325048,2023-01-11 22:00:00+00:00,129.01087570499863,No,No,No,No,No,Yes,SL,-1.02,-1118.8,15,168.0,0.33,438.7,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
23,AUD_CAD,BULLISH,2023-01-04 22:00:00+00:00,0.9162,0.9043636596418921,0.9233018042148647,0.9304036084297295,0.9398726807162158,0.9457908508952697,0.9576271912533776,2023-01-12 22:00:00+00:00,0.9279965207795944,Yes,Yes,No,No,No,No,TP2+Trail,1.0,1096.3,14,192.0,0.93,118.4,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
24,USD_CAD,BULLISH,2023-01-04 22:00:00+00:00,1.35786192,1.3469047203490128,1.3644362397905923,1.3710105595811846,1.3797763193019743,1.385254919127468,1.396212118778455,2023-01-05 22:00:00+00:00,1.3461547203490127,No,No,No,No,No,Yes,SL,-1.07,-1175.29,15,24.0,1.36,109.6,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
